,ArticleId,Text,Clean_Text
0,1330,irish finish with home game republic of ireland manager brian kerr has been granted his wish for a home game as the final world cup qualifier.  ireland will close their bid to reach the 2006 finals by playing switzerland in dublin on 12 october 2005. the republic met the swiss in their final euro 2004 qualifier  losing 2-0 away and missing out on a place in the finals in portugal. the group four fixtures were hammered out at a meeting in dublin on tuesday. the irish open their campaign on 4 september at home to cyprus and wrap up the 10-match series on 12 october 2005  with the visit of switzerland. manager brian kerr and fai officials met representatives from switzerland  france  cyprus  israel and the faroe islands to arrange the fixture schedule. kerr had hoped to finish with a clash against france  but got the reigning european champions as their penultimate home match on 7 september 2005. the manager got his wish to avoid a repeat of finishing their bid to qualify with too many away matches.  republic of ireland v cyprus; france v israel; switzerland v faroe islands.  switzerland v republic of ireland; israel v cyprus; faroe islands v france.  france v republic of ireland; israel v switzerland; cyprus v faroe islands.  republic of ireland v faroe islands; cyprus v france.  cyprus v israel.  france v switzerland; israel v republic of ireland.  switzerland v cyprus; israel v france.  republic of ireland v israel; faroe islands v switzerland.  faroe islands v republic of ireland. august 17 - faroe islands v cyprus.  france v faroe islands; switzerland v israel.  republic of ireland v france; cyprus v switzerland; faroe islands v israel.  switzerland v france; israel v faroe islands; cyprus v republic of ireland.  france v cyprus; republic of ireland v switzerland.,irish finish home game republ ireland manag brian kerr grant wish home game final world cup qualifi ireland close bid reach final play switzerland dublin octob republ met swiss final euro qualifi lose away miss place final portug group four fixtur hammer meet dublin tuesday irish open campaign septemb home cypru wrap match seri octob visit switzerland manag brian kerr fai offici met repres switzerland franc cypru israel faro island arrang fixtur schedul kerr hope finish clash franc get reign european champion penultim home match septemb manag get wish avoid repeat finish bid qualifi mani away match republ ireland v cypru franc v israel switzerland v faro island switzerland v republ ireland israel v cypru faro island v franc franc v republ ireland israel v switzerland cypru v faro island republ ireland v faro island cypru v franc cypru v israel franc v switzerland israel v republ ireland switzerland v cypru israel v franc republ ireland v israel faro island v switzerland faro island v republ ireland august faro island v cypru franc v faro island switzerland v israel republ ireland v franc cypru v switzerland faro island v israel switzerland v franc israel v faro island cypru v republ ireland franc v cypru republ ireland v switzerland
1,1111,what high-definition will do to dvds first it was the humble home video  then it was the dvd  and now hollywood is preparing for the next revolution in home entertainment - high-definition.  high-definition gives incredible  3d-like pictures and surround sound. the dvd disks and the gear to play them will not be out for another year or so  and there at are still a number of issues to be sorted out. but when high-definition films do come out on the new format dvds  it will profoundly change home entertainment. for rick dean  director of business development for digital content company thx  a high-definition future is an exciting prospect. he has worked on the star wars dvd trilogy  finding nemo  the incredibles and indiana jones.  there was a time not so long ago when the film world and the video world were two completely separate worlds   he told the bbc news website.   the technology we are dealing with now means they are very much conjoined.  the film that we see in theatres is coming from the same digital file that we take the home video master   he says. but currently  putting a master feature film onto dvd requires severe compression because current dvd technology cannot hold as much as high-definition films demand.  as much as you compress the picture data rate wise  you also take qualities away from the picture that we fight so hard to keep in the master   he explains.  i would love to be able to show people what projects that we worked on really look like in the high-def world and i find it very exciting.   high-definition dvds can hold up to six times more data than the dvds we are used to. it will take time though to persuade people who spent money on dvd players to buy the different players and displays required to watch high-definition dvds in 18 months  time. mr dean is confident though:  i think if they see real hd [high-definition]  not some heavily compressed version of it  there is such a remarkable difference.  i have heard comments from people who say the images pop off the screen.   high-definition will mean some changes for those working behind the scenes too. on the whole  producing films for high-definition dvds will be easier in some ways because less compression is needed. equally  it may mean hollywood studios ask for more to be put onto the average dvd.  when we master movies right now  our data rates are running at about 1.2 gigabits per second   says mr dean.  our dvds that we put out today have to be squashed down to about five or six megabits per second.  that s a huge amount of compression that has to be applied - about 98%. so if you have anything that allows more space  you don t have to compress so hard.  studios could fit a lot more marketing material  games  and features  onto high-capacity dvds. currently  an entire dvd project can take up to three months  says mr dean. although the step of down-converting will be bypassed  this will realistically only save a day s work  says mr dean. one of the most time consuming elements is building dvd navigation and menu systems. on the fairly complex star wars disks  making sure the menu buttons worked took 45 human hours alone. if studios want to cash in on the extra space  it could mean extra human hours  for which someone has to pay.  if the decision on the studio side is that they are going to put a lot more on these disks  it could be more expensive because of all the extra navigation that is required.  and if studios do focus on delivering more  added value content   thinks mr dean  ultimately it could mean that they will want more money for it. those costs could filter down to the price ticket on a high-definition dvd. but if the consumer is not willing to pay a premium price  studios will listen  thinks mr dean.  high-definition throws up other challenge to film makers and dvd production alike. more clarity on screen means film makers have to make doubly sure that attention to detail is meticulous.  when we did the first hd version of star wars episode i  everybody was very sun-tanned  but that was make-up.  in the hd version of episode i  all these make-up lines showed up   explains mr dean. the restoration of the older star wars episodes revealed some interesting items too.   there are scans of a corridor [on the death star] and fairly plainly in one of those shots  there is a file cabinet stuck behind one of the doorways.  you never used to be able to see it because things are just blurred enough during the pan that you just didn t see it.  what high-definition revolution ultimately means is that the line between home entertainment and cinema worlds will blur. with home theatre systems turning living rooms into cinemas  this line blurs even further. it could also mean that how we get films  and in what format  will widen.  in the future we are going to look towards file delivery over ip [internet protocol - broadband]  giving a dvd-like experience from the set-top box to the hard drive   says mr dean. but that is some time off for most  and for now  people still like to show off something physical in their bookshelves.,highdefinit dvd first humbl home video dvd hollywood prepar next revolut home entertain highdefinit highdefinit give incred dlike pictur surround sound dvd disk gear play anoth year still number issu sort highdefinit film come new format dvd profoundli chang home entertain rick dean director busi develop digit content compani thx highdefinit futur excit prospect work star war dvd trilog find nemo incred indiana jone time long ago film world video world two complet separ world told bbc news websit technolog deal mean much conjoin film see theatr come digit file take home video master say current put master featur film onto dvd requir sever compress current dvd technolog hold much highdefinit film demand much compress pictur data rate wise also take qualiti away pictur fight hard keep master explain would love abl show peopl project work realli look like highdef world find excit highdefinit dvd hold six time data dvd use take time though persuad peopl spent money dvd player buy differ player display requir watch highdefinit dvd month time mr dean confid though think see real hd highdefinit heavili compress version remark differ heard comment peopl say imag pop screen highdefinit mean chang work behind scene whole produc film highdefinit dvd easy way less compress need equal may mean hollywood studio ask put onto averag dvd master movi right data rate run gigabit per second say mr dean dvd put today squash five six megabit per second huge amount compress appli anyth allow space compress hard studio could fit lot market materi game featur onto highcapac dvd current entir dvd project take three month say mr dean although step downconvert bypass realist save day work say mr dean one time consum element build dvd navig menu system fairli complex star war disk make sure menu button work take human hour alon studio want cash extra space could mean extra human hour someon pay decis studio side go put lot disk could expens extra navig requir studio focu deliv ad valu content think mr dean ultim could mean want money cost could filter price ticket highdefinit dvd consum will pay premium price studio listen think mr dean highdefinit throw challeng film maker dvd product alik clariti screen mean film maker make doubli sure attent detail meticul first hd version star war episod everybodi suntan makeup hd version episod makeup line show explain mr dean restor old star war episod reveal interest item scan corridor death star fairli plainli one shot file cabinet stuck behind one doorway never use abl see thing blur enough pan see highdefinit revolut ultim mean line home entertain cinema world blur home theatr system turn live room cinema line blur even could also mean get film format widen futur go look toward file deliveri ip internet protocol broadband give dvdlike experi settop box hard drive say mr dean time peopl still like show someth physic bookshelv
2,1273,vera drake s bafta triumph hope at the bafta film awards on saturday night  there is the prospect that a home-grown movie could walk off with a clutch of trophies.  vera drake  mike leigh s tale about a 1950s backstreet abortionist  is nominated in 11 categories. these include best film  best director and best actress shortlist for imelda staunton who plays the eponymous character. the film has spent months being lauded with prizes  from the venice film festival to five awards from the london critics  circle on wednesday night.  the baftas has a tradition of honouring british cinema  and this year vera drake is the obvious candidate to be heaped with praise. empire magazine s reviews editor dan jolin said the film had  a very good chance  of doing well on saturday  predicting that it would collect five or six awards.  i don t think it s going to do a lord of the rings-style sweep  but imelda staunton is a shoo-in for best actress   he said.   a best director prize for mike leigh and best british film are also likely and it could steal some awards from heavily-nominated competitors the aviator and finding neverland.  mr jolin tipped another contender - most likely the aviator - to walk away with the bafta for best film  and added that finding neverland had been lavished with nominations but not trophies. strong oscar contenders million dollar baby and sideways did not figure in the bafta nominations  giving vera drake greater potential to walk away with the big prizes.   there is a sense that this film is ours and we should slap our own guys on the back. out of all the films in the running for the baftas  vera drake is the true blue british one.    if mike leigh is going to win awards for anything  it should be vera drake at this year s baftas   said mr jolin  adding that the film was probably his most technically accomplished and lavish work yet. mr jolin also tipped phil davis for a best supporting actor prize for his role in vera drake but felt that heather craney could be outdone by kate winslet or natalie portman in the supporting actress category.  if there is anywhere where this film is going to win  it will be at the baftas   he said.  the guardian s film critic peter bradshaw felt that there  might well be  a sweep of awards for vera drake on saturday night.  i hope that bafta voters will respond to the extremely high standard of acting from the whole cast of the film. if bafta can t do so  what hope is there   he said. mr bradshaw felt that mike leigh s  masterpiece  was entitled to the best film award - leaving dead man s shoes  harry potter and the prisoner of azkaban  my summer of love and shaun of the dead to slug it out for the best british film trophy.  i will be cheering if vera drake wins a whole host of awards   he added.,vera drake bafta triumph hope bafta film award saturday night prospect homegrown movi could walk clutch trophi vera drake mike leigh tale s backstreet abortionist nomin categori includ best film best director best actress shortlist imelda staunton play eponym charact film spent month laud prize venic film festiv five award london critic circl wednesday night bafta tradit honour british cinema year vera drake obviou candid heap prais empir magazin review editor dan jolin say film good chanc well saturday predict would collect five six award think go lord ringsstyl sweep imelda staunton shooin best actress say best director prize mike leigh best british film also like could steal award heavilynomin competitor aviat find neverland mr jolin tip anoth contend like aviat walk away bafta best film ad find neverland lavish nomin trophi strong oscar contend million dollar babi sideway figur bafta nomin give vera drake great potenti walk away big prize sen film slap guy back film run bafta vera drake true blue british one mike leigh go win award anyth vera drake year bafta say mr jolin ad film probabl technic accomplish lavish work yet mr jolin also tip phil davi best support actor prize role vera drake felt heather craney could outdon kate winslet natali portman support actress categori anywher film go win bafta say guardian film critic peter bradshaw felt might well sweep award vera drake saturday night hope bafta voter respond extrem high standard act whole cast film bafta hope say mr bradshaw felt mike leigh masterpiec entitl best film award leav dead man shoe harri potter prison azkaban summer love shaun dead slug best british film trophi cheer vera drake win whole host award ad
3,174,commons hunt protest charges eight protesters who stormed the house of commons chamber during a debate on the hunting bill have been charged with disorderly conduct.  the men were arrested in september after bursting into the chamber causing a hunting ban debate to be halted. those charged included otis ferry  the 22-year-old son of rock star bryan ferry and luke tomlinson  27  a close friend of princes william and harry. they were charged under section 5 of the public order act  police said.  five of the eight men held an impromptu news conference outside charing cross police station on monday evening  after the charges were formerly put to them. the men s solicitor matthew knight  said that at no time had it occurred to the men that they were committing a criminal offence.   there is no offence of trespassing in the house of commons - it is not a criminal offence   he said.  if parliament wanted to make entering the house of commons chamber on foot a criminal offence it should have done so  but it can t do so retrospectively.  we are not prosecuted for that. we are prosecuted for a public order act offence. we are not guilty of it.  they will appear at bow street magistrates  court on 21 december  a police spokesman said. otis ferry  a former eton pupil and joint leader of the south shropshire hunt  said:  i have no regrets.  we have done nothing wrong beyond the obvious which was to stand up for our rights and not act like a sheep like the rest of the country.  one of the men  david redvers  34  from hartpury  gloucestershire  said he and the other seven protesters would plead not guilty to the charges.  the other protesters are john holliday  37  a huntsman from ledbury  herefordshire  robert thame  34  who plays polo with princes charles in team highgrove  auctioneer andrew elliot  42  from bromesberrow  near ledbury  point-to-point jockey richard wakeham  34  from york  and former royal chef nick wood  41. the 15 september protest came on the same day as a huge pro-hunting demonstration in parliament square. four of the men ran out from behind the speaker s chair while another wrestled past a doorkeeper from a different entrance. the five tried to confront mps before they were bundled out of the chamber and later led away handcuffed by police. three others had been intercepted by security staff as they tried to join the five in the chamber.  speaker michael martin later said the men had used a forged letter to gain access to the house of commons and had been helped to get close to the chamber by a parliamentary pass holder. in november  the use of the parliament act meant a total ban on hunting with dogs in england and wales. however  many pro-hunt activists remained defiant after the law was passed  saying they would ignore the ban and continue to hunt. last week  the countryside alliance said more than 250 hunts would meet legally the day after the ban on hunting with dogs comes into force. the alliance said the 19 february meets would show the new law was  impossibly difficult to determine  and open to different interpretations.,common hunt protest charg eight protest storm hous common chamber debat hunt bill charg disorderli conduct men arrest septemb burst chamber caus hunt ban debat halt charg includ oti ferri yearold son rock star bryan ferri luke tomlinson close friend princ william harri charg section public order act polic say five eight men held impromptu news confer outsid chare cross polic station monday even charg formerli put men solicitor matthew knight say time occur men commit crimin offenc offenc trespass hous common crimin offenc say parliament want make enter hous common chamber foot crimin offenc do retrospect prosecut prosecut public order act offenc guilti appear bow street magistr court decemb polic spokesman say oti ferri former eton pupil joint leader south shropshir hunt say regret do noth wrong beyond obviou stand right act like sheep like rest countri one men david redver hartpuri gloucestershir say seven protest would plead guilti charg protest john holliday huntsman ledburi herefordshir robert thame play polo princ charl team highgrov auction andrew elliot bromesberrow near ledburi pointtopoint jockey richard wakeham york former royal chef nick wood septemb protest come day huge prohunt demonstr parliament squar four men ran behind speaker chair anoth wrestl past doorkeep differ entranc five tri confront mp bundl chamber later lead away handcuf polic three other intercept secur staff tri join five chamber speaker michael martin later say men use forg letter gain access hous common help get close chamber parliamentari pas holder novemb use parliament act meant total ban hunt dog england wale howev mani prohunt activist remain defiant law pas say would ignor ban continu hunt last week countrysid allianc say hunt would meet legal day ban hunt dog come forc allianc say februari meet would show new law imposs difficult determin open differ interpret
4,605,da vinci code is  lousy history  the plot of an international bestseller that thousands of readers are likely to receive as a christmas present is  laughable   a clergyman has said.  the da vinci code claims jesus was not crucified  but married mary magdalene and died a normal death. it claims this was later covered up by the church. the bishop of durham  the rt rev dr tom wright  described the novel as a  great thriller  but  lousy history . the book has sold more than seven million copies worldwide. despite enjoying dan brown s conspiracy theory  the bishop said there was a lack of evidence to back up its claims.  writing his christmas message in the northern echo  the bishop said:  conspiracy theories are always fun - fun to invent  fun to read  fun to fantasise about.  dan brown is the best writer i ve come across in the genre  but anyone who knows anything about 1st century history will see that this underlying material is laughable.  a great deal of credible evidence proves the biblical version of jesus  life was true  according to the bishop.  the evidence for jesus and the origins of christianity is astonishingly good   he said.  we have literally a hundred times more early manuscripts for the gospels and letters in the new testament than we have for the main classical authors like cicero  virgil and tacitus.   historical research shows that they present a coherent and thoroughly credible picture of jesus  with all sorts of incidental details that fit the time when he lived  and don t fit the world of later legend.  brown s book has become a publishing phenomenon  consistently topping book charts in the uk and us. the da vinci code has been translated into 42 languages and has spawned its own cottage industry of publications  including guides on to how to read the book  rebuttals and counter claims. the book  which has become an international best-seller in little over two years  is set to be made into a film starring tom hanks.,da vinci code lousi histori plot intern bestsel thousand reader like receiv christma present laughabl clergyman say da vinci code claim jesu crucifi marri mari magdalen die normal death claim later cover church bishop durham rt rev dr tom wright describ novel great thriller lousi histori book sell seven million copi worldwid despit enjoy dan brown conspiraci theori bishop say lack evid back claim write christma messag northern echo bishop say conspiraci theori alway fun fun invent fun read fun fantasis dan brown best writer come across genr anyon know anyth st centuri histori see underli materi laughabl great deal credibl evid prove biblic version jesu life true accord bishop evid jesu origin christian astonishingli good say liter hundr time earli manuscript gospel letter new testament main classic author like cicero virgil tacitu histor research show present coher thoroughli credibl pictur jesu sort incident detail fit time live fit world later legend brown book becom publish phenomenon consist top book chart uk u da vinci code translat languag spawn cottag industri public includ guid read book rebutt counter claim book becom intern bestsel littl two year set make film star tom hank
5,256,mps criticise child access system divorced parents seeking access to their children are often disadvantaged by the legal system  mps have said.  the constitutional affairs select committee said parents with custody could exploit delays in the system to stop former partners gaining access. courts should be used as a last resort  but where they are  their orders should be enforced more rigorously  mps said. but they rejected the claim made by some campaign groups that there should be a legal presumption of equal access.  currently the presumption is that the interests of the child are paramount.  an arbitrary  template  imposed on all families  whatever the needs of the child  would relegate the welfare of individual children to a secondary position   the mps said.  they said the law should be changed to require family courts specifically to take account of the importance of sustaining the relationship between the child and the non-resident parent in contested cases. this would  reassert the rights of non-resident parents to contact with their children  as well as the rights of children to contact with both their parents  while maintaining sufficient flexibility to cope with issues of safety   they said. delays in court hearings and the inability to effectively enforce court orders allowed  a new  status quo  arrangement for the children to become established by default   they said.   although the courts rigorously avoid conscious bias  there are considerable grounds for accepting that non-resident parents are frequently disadvantaged by the system as it is administered at present.  given the strong animosity between the parties which is common in contested family cases  we find it hard to believe that tactical delay is not sometimes used to the advantage of resident parents.  committee chairman alan beith said the five-month inquiry had been a  complex and emotive  one.  at the moment  far too many contact and residency cases are being dealt with by the courts when they could be better resolved through professional mediation and negotiation   he said.  this situation has to change. the court system should only be used as a last resort  where mediation and negotiation have completely broken down or where issues of abuse or domestic violence need to be dealt with.  this will help to reduce delays and improve the lives of many children across the country.,mp criticis child access system divorc parent seek access child often disadvantag legal system mp say constitut affair select committe say parent custodi could exploit delay system stop former partner gain access court use last resort order enforc rigor mp say reject claim make campaign group legal presumpt equal access current presumpt interest child paramount arbitrari templat impos famili whatev need child would releg welfar individu child secondari posit mp say say law chang requir famili court specif take account import sustain relationship child nonresid parent contest case would reassert right nonresid parent contact child well right child contact parent maintain suffici flexibl cope issu safeti say delay court hear inabl effect enforc court order allow new statu quo arrang child becom establish default say although court rigor avoid consciou bia consider ground accept nonresid parent frequent disadvantag system administ present give strong animos parti common contest famili case find hard believ tactic delay sometim use advantag resid parent committe chairman alan beith say fivemonth inquiri complex emot one moment far mani contact resid case dealt court could well resolv profession mediat negoti say situat chang court system use last resort mediat negoti complet broken issu abus domest violenc need dealt help reduc delay improv live mani child across countri
6,811,ronaldo considering new contract manchester united winger cristiano ronaldo said he is close to agreeing to a new contract at old trafford.  the portugal star  who joined in august 2003 on a five-year-deal  is a regular in the united first-team.  the united board have already made an offer to renew the contract but i m trying not to think about it   he told the news of the world.  my agent has spoken with the club and it will be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to the club.   nobody knows what will come tomorrow. i like being here  but who knows   he added.  there aren t many bigger and better clubs than this one. it s my ambition to be at a big club. i m happy but nobody knows the future.,ronaldo consid new contract manchest unit winger cristiano ronaldo say close agre new contract old trafford portug star join august fiveyeard regular unit firstteam unit board alreadi make offer renew contract tri think told news world agent spoken club resolv soon think reach good agreement side ronaldo refus commit longterm futur club nobodi know come tomorrow like know ad mani big well club one ambit big club happi nobodi know futur
7,566,howard attacks  pay later  budget tory leader michael howard has dismissed gordon brown s budget as  vote now  pay later  spending plans.  the simple fact was that under a new labour government taxes would go up after the election to plug a financial black hole  mr howard said. everyone could see the chancellor s  sweeteners   but these hid tax rises for hard working families  he said. labour s  faltering election campaign  would not be helped by the package of measures  mr howard added.  mr brown s budget was not about what was good for the country  but  all about the interests of the labour party   the tory leader said after mockingly welcoming the chancellor back to the election campaign. he went on to accuse mr brown of giving with one hand while taking away with the other. he urged the chancellor to admit he had been responsible for dragging  millions of people in to the net  to pay stamp duty and inheritance tax.  we can all see the sweeteners  but they hide the crippling tax rises for hard-working families that are inevitable if labour wins.   he also accused the government and the chancellor of running out of solutions to the problems britain faced.  their only answer is to tax  to spend and to waste - to get people to vote now and pay later.  mr brown liked to rattle off  magical balances conjured out of thin air  in a bid to convince people there was no  black hole  in the nation s finances  the tory leader said.  this dodgy government that brought us the dodgy dossier is now publishing a dodgy budget based on dodgy numbers   he said.  you now propose to borrow  over the next six years  no less than £168 billion; so much for prudence.  the chancellor s forecasts of surpluses are no better than the prime minister s forecasts of weapons of mass destruction.   mr brown s council tax rebate for pensioners was £300 less than what the tories were offering  mr howard said. there was nothing in the budget that would put more police on the streets  make hospitals cleaner or give parents and teachers the discipline and skills they wanted in schools. people would face a  clear choice  at the election  either  more waste and higher taxes under labour or lower taxes and value for money with the conservatives   he said.  that s the battleground of this election. that s what this election is going to be all about and i say bring it on   he concluded  to loud tory cheering.,howard attack pay later budget torus leader michael howard dismiss gordon brown budget vote pay later spend plan simpl fact new labour govern tax would go elect plug financi black hole mr howard say everyon could see chancellor sweeten hid tax rise hard work famili say labour falter elect campaign would help packag measur mr howard ad mr brown budget good countri interest labour parti torus leader say mockingli welcom chancellor back elect campaign go accus mr brown give one hand take away urg chancellor admit respons drag million peopl net pay stamp duti inherit tax see sweeten hide crippl tax rise hardwork famili inevit labour win also accus govern chancellor run solut problem britain face answer tax spend wast get peopl vote pay later mr brown like rattl magic balanc conjur thin air bid convinc peopl black hole nation financ torus leader say dodgi govern brought u dodgi dossier publish dodgi budget base dodgi number say propos borrow next six year less £ billion much prudenc chancellor forecast surplus well prime minist forecast weapon mass destruct mr brown council tax rebat pension £ less torus offer mr howard say noth budget would put polic street make hospit cleaner give parent teacher disciplin skill want school peopl would face clear choic elect either wast high tax labour low tax valu money conserv say battleground elect elect go say bring conclud loud torus cheer
8,1186,rich pickings for hi-tech thieves viruses  trojans and other malicious programs sent on to the net to catch you out are undergoing a subtle change.  the shift is happening as tech savvy criminals turn to technology to help them con people out of cash  steal valuable data or take over home pcs. viruses written to make headlines by infecting millions are getting rarer. instead programs are now crafted for directly criminal ends and firms are tightening up networks with defences to combat the new wave of malicious code.  the growing criminal use of malware has meant the end of the neat categorisation of different sorts of viruses and malicious programs. before now it has been broadly possible to name and categorise viruses by the method they use to spread and how they infect machines. but many of the viruses written by criminals roll lots of technical tricks together into one nasty package.   you cannot put them in to the neat little box that you used to   said pete simpson  head of the threat laboratory at security firm clearswift. now viruses are just as likely to spread by themselves like worms  or to exploit loopholes in browsers or hide in e-mail message attachments.  it s about outright criminality now   said mr simpson  explaining why this change has come about. he said many of the criminal programs came from eastern europe where cash-rich organised gangs can find a ready supply of technical experts that will crank out code to order. former virus writer marek strihavka  aka benny from the 29a virus writing group  recently quit the malware scene partly because it was being taken over by spyware writers  phishing gangs  and spammers who are more interested in money rather than the technology. no longer do virus writers produce programs to show off their technical prowess to rivals in the underground world of malware authors. not least  said paul king  principal security consultant at cisco  because the defences against such attacks are so common.  in many ways the least likely way to do it is e-mail because most of us have got anti-virus and firewalls now   he said. few of the malicious programs written by hi-tech thieves are cleverly written  many are much more pragmatic and use tried and tested techniques to infect machines or to trick users into installing a program or handing over important data.  if you think of criminals they do not do clever   said mr king   they just do what works.   as the tactics used by malicious programs change  said mr king  so many firms were changing the way they defend themselves. now many scan machines that connect to the corporate networks to ensure they have not been compromised while off the core network.  many will not let a machine connect and a worker get on with their job before the latest patches and settings have been uploaded. as well as using different tactics  criminals also use technology for reasons that are much more transparent.  the main motivation now is money   said gary stowell  spokesman for st bernard software. mr stowell said organised crime gangs were turning to computer crime because the risks of being caught were low and the rates of return were very high. with almost any phishing or spyware attack  criminals are guaranteed to catch some people out and have the contacts to exploit what they recover. so-called spyware was proving very popular with criminals because it allowed them to take over machines for their own ends  to steal key data from users or to hijack web browsing sessions to point people at particular sites. in some cases spyware was being written that searched for rival malicious programs on pcs it infects and then trying to erase them so it has sole ownership of that machine.,rich pick hitech thiev virus trojan malici program sent net catch undergo subtl chang shift happen tech savvi crimin turn technolog help con peopl cash steal valuabl data take home pc virus write make headlin infect million get rarer instead program craft directli crimin end firm tighten network defenc combat new wave malici code grow crimin use malwar meant end neat categoris differ sort virus malici program broadli possibl name categoris virus method use spread infect machin mani virus write crimin roll lot technic trick togeth one nasti packag put neat littl box use say pete simpson head threat laboratori secur firm clearswift virus like spread like worm exploit loophol browser hide email messag attach outright crimin say mr simpson explain chang come say mani crimin program come eastern europ cashrich organis gang find readi suppli technic expert crank code order former viru writer marek strihavka aka benni a viru write group recent quit malwar scene partli take spywar writer phish gang spammer interest money rather technolog longer viru writer produc program show technic prowess rival underground world malwar author least say paul king princip secur consult cisco defenc attack common mani way least like way email u get antiviru firewal say malici program write hitech thiev cleverli write mani much pragmat use tri test techniqu infect machin trick user instal program hand import data think crimin clever say mr king work tactic use malici program chang say mr king mani firm chang way defend mani scan machin connect corpor network ensur compromis core network mani let machin connect worker get job late patch set upload well use differ tactic crimin also use technolog reason much transpar main motiv money say gari stowel spokesman st bernard softwar mr stowel say organis crime gang turn comput crime risk caught low rate return high almost phish spywar attack crimin guarante catch peopl contact exploit recov socal spywar prove popular crimin allow take machin end steal key data user hijack web brow session point peopl particular site case spywar write search rival malici program pc infect tri era sole ownership machin
9,1540,holmes wins  2004 top tv moment  sprinter kelly holmes  olympic victory has been named the top television moment of 2004 in a bbc poll.  holmes  800m gold medal victory beat favourite moments from drama  comedy and factual programmes  as voted by television viewers. natasha kaplinsky s strictly come dancing win was top entertainment moment and a little britain breast feeding sketch won the comedy prize. the 2004 tv moments will be shown on bbc one at 2000 gmt on wednesday. double gold medal winner holmes topped the best sports moment category  beating maria sharapova s wimbledon triumph and matthew pinsent s rowing victory at the olympics.  she then went on to take the overall prize of golden tv moment. the sight of former royal correspondent jennie bond with dozens of rats crawling over her in itv s i m a celebrity get me out of here was named best factual entertainment moment. michael buerk s return to ethiopia  20 years after originally reporting its famine  topped the factual category for bbc programme this world. long-running soap eastenders won the best popular drama moment title when character dot confided in den watts that she was unwell.,holm win top tv moment sprinter kelli holm olymp victori name top televis moment bbc poll holm m gold medal victori beat favourit moment drama comedi factual programm vote televis viewer natasha kaplinski strictli come danc win top entertain moment littl britain breast feed sketch comedi prize tv moment show bbc one gmt wednesday doubl gold medal winner holm top best sport moment categori beat maria sharapova wimbledon triumph matthew pinsent row victori olymp go take overal prize golden tv moment sight former royal correspond jenni bond dozen rat crawl itv celebr get name best factual entertain moment michael buerk return ethiopia year origin report famin top factual categori bbc programm world longrun soap eastend best popular drama moment titl charact dot confid den watt unwel
